รหัสรถ,ประเภทขนส่ง,รุ่นรถ,ประจำคลังโยกฟลีต,เบอร์รถ,ประเภทรถ
Oil148,Oil,FVZ 240,รถสำรอง Fleet SR,148,สิบล้อ
Oil149,Oil,FVZ 240,รถสำรอง Fleet NK,149,สิบล้อ
Oil150,Oil,FVZ 240,รถสำรอง Fleet NK,150,สิบล้อ
Oil151,Oil,FVZ 240,รถสำรอง Fleet NK,151,สิบล้อ
Oil164,Oil,FVZ 240,รถสำรอง Fleet SR,164,สิบล้อ
Oil165,Oil,FVM 240,รถสำรอง Fleet NK,165,สิบล้อ
Oil166,Oil,FVM 240,รถสำรอง Fleet NK,166,สิบล้อ
Oil167,Oil,FVM 240,รถสำรอง Fleet NK,167,สิบล้อ
Oil168,Oil,FVM 240,รถสำรอง Fleet NK,168,สิบล้อ
Oil169,Oil,FVZ 240,คลัง พิษณุโลก,169,สิบล้อ
Oil197,Oil,FVZ 240,คลัง ลำปาง,197,สิบล้อ
Oil198,Oil,FVZ 240,คลัง ลำปาง,198,สิบล้อ
Oil199,Oil,FVM 240,คลัง แม่กลอง,199,สิบล้อ
Oil200,Oil,FVM 240,คลัง ฟลีตสุราษฎ์ธานี,200,สิบล้อ
Oil201,Oil,FVM 240,คลัง ฟลีตสุราษฎ์ธานี,201,สิบล้อ
Oil202,Oil,FVM 240,คลัง ฟลีตสุราษฎ์ธานี,202,สิบล้อ
Oil203,Oil,FVM 240,รถสำรอง Fleet SR,203,สิบล้อ
Oil244,Oil,FVM 240,คลัง แม่กลอง,244,สิบล้อ
Oil245,Oil,FVM 240,รถสำรอง Fleet SR,245,สิบล้อ
Oil246,Oil,FVM 240,คลัง ฟลีตสุราษฎ์ธานี,246,สิบล้อ
Oil247,Oil,FVM 240,รถสำรอง Fleet NK,247,สิบล้อ
Oil248,Oil,FVM 240,รถสำรอง Fleet SR,248,สิบล้อ
Oil249,Oil,FVM 240,คลัง หนองแค,249,สิบล้อ
Oil250,Oil,FVM 240,คลัง แม่กลอง,250,สิบล้อ
Oil251,Oil,FVM 240,คลัง แม่กลอง,251,สิบล้อ
Oil252,Oil,FVM 240,คลัง ลำปาง,252,สิบล้อ
Oil253,Oil,FVM 240,คลัง ศรีราชา,253,สิบล้อ
Oil254,Oil,FVM 240,คลัง แม่กลอง,254,สิบล้อ
Oil255,Oil,FVM 240,คลัง ลำปาง,255,สิบล้อ
Oil256,Oil,FVM 240,คลัง หนองแค,256,สิบล้อ
Oil257,Oil,FVM 240,คลัง หนองแค,257,สิบล้อ
Oil258,Oil,FVM 240,รถสำรอง Fleet SR,258,สิบล้อ
Oil259,Oil,FVM 240,คลัง แม่กลอง,259,สิบล้อ
Oil260,Oil,FVM 240,รถสำรอง Fleet SR,260,สิบล้อ
Oil261,Oil,FVM 240,คลัง ฟลีตสุราษฎ์ธานี,261,สิบล้อ
Oil262,Oil,FVZ 240,คลัง ลำปาง,262,สิบล้อ
Oil263,Oil,FVZ 240,คลัง ลำปาง,263,สิบล้อ
Oil284,Oil,FVM 240,คลัง หนองแค,284,สิบล้อ
Oil285,Oil,FVM 240,รถสำรอง Fleet SR,285,สิบล้อ
Oil286,Oil,FVM 240,คลัง ขอนแก่น,286,สิบล้อ
Oil287,Oil,FVM 240,คลัง ลำปาง,287,สิบล้อ
Oil288,Oil,FVM 240,คลัง แม่กลอง,288,สิบล้อ
Oil289,Oil,FVM 240,คลัง ลำปาง,289,สิบล้อ
Oil290,Oil,FVM 240,คลัง ศรีราชา,290,สิบล้อ
Oil291,Oil,FVM 240,คลัง ฟลีตสุราษฎ์ธานี,291,สิบล้อ
Oil292,Oil,FVM 240,รถสำรอง Fleet SR,292,สิบล้อ
Oil293,Oil,FVM 240,คลัง ฟลีตสุราษฎ์ธานี,293,สิบล้อ
Oil294,Oil,FVM 240,คลัง ศรีราชา,294,สิบล้อ
Oil295,Oil,FVM 240,รถสำรอง Fleet SR,295,สิบล้อ
Oil296,Oil,FVM 240,คลัง แม่กลอง,296,สิบล้อ
Oil297,Oil,FVM 240,คลัง หนองแค,297,สิบล้อ
Oil298,Oil,FVM 240,คลัง แม่กลอง,298,สิบล้อ
Oil299,Oil,FVM 240,รถสำรอง Fleet SR,299,สิบล้อ
Oil300,Oil,FVM 240,คลัง ศรีราชา,300,สิบล้อ
Oil301,Oil,FVM 240,คลัง แม่กลอง,301,สิบล้อ
Oil302,Oil,FVM 240,คลัง ฟลีตสุราษฎ์ธานี,302,สิบล้อ
Oil303,Oil,FVM 240,คลัง ฟลีตสุราษฎ์ธานี,303,สิบล้อ
Oil304,Oil,FVM 240,คลัง หนองแค,304,สิบล้อ
Oil305,Oil,FVM 240,คลัง ขอนแก่น,305,สิบล้อ
Oil306,Oil,FVM 240,คลัง ศรีราชา,306,สิบล้อ
Oil307,Oil,FVM 240,คลัง ศรีราชา,307,สิบล้อ
Oil308,Oil,FVM 240,คลัง ชุมพร,308,สิบล้อ
Oil309,Oil,FVM 240,คลัง ลำปาง,309,สิบล้อ
Oil310,Oil,FVM 240,คลัง ศรีราชา,310,สิบล้อ
Oil311,Oil,FVM 240,คลัง ศรีราชา,311,สิบล้อ
Oil312,Oil,FVM 240,คลัง แม่กลอง,312,สิบล้อ
Oil313,Oil,FVM 240,คลัง ศรีราชา,313,สิบล้อ
Oil314,Oil,FVM 240,คลัง แม่กลอง,314,สิบล้อ
Oil315,Oil,FVM 240,คลัง หนองแค,315,สิบล้อ
Oil316,Oil,FVM 240,คลัง ขอนแก่น,316,สิบล้อ
Oil317,Oil,FVM 240,รถสำรอง Fleet SR,317,สิบล้อ
Oil318,Oil,FVM 240,รถสำรอง Fleet SR,318,สิบล้อ
